|dates|Gilpin_Colorado_UnitedStates.BLS_EmployedPopulation.data|Gilpin_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Gilpin_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Gilpin_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Gilpin_Colorado_UnitedStates.BLS_UnemploymentRate.data|Gilpin_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Gilpin_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Gilpin_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-03-04|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-05|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-06|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-07|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-08|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-09|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-10|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-11|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-12|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-13|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-14|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-15|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-16|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-17|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-18|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-19|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-20|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-21|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-22|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-23|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-24|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-25|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-26|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-27|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-28|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-29|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-30|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-03-31|3614.5|0|149.0|0|3.959080643018467|0|3763.5|0
0|2020-04-01|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-02|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-03|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-04|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-05|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-06|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-07|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-08|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-09|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-10|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-11|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-12|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-13|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-14|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-15|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-16|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-17|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-18|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-19|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-20|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-21|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-22|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-23|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-24|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-25|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-26|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-27|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-28|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-29|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-04-30|3250.0|0|974.5|0|23.067818676766482|0|4224.5|0
0|2020-05-01|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-02|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-03|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-04|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-05|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-06|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-07|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-08|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-09|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-10|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-11|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-12|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-13|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-14|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-15|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-16|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-17|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-18|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-19|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-20|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-21|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-22|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-23|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-24|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-25|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-26|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-27|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-28|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
0|2020-05-29|3350.0|0|1065.0|0|24.122310305775766|0|4415.0|0
