|dates|Transylvania_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Transylvania_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Transylvania_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Transylvania_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Transylvania_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Transylvania_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Transylvania_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Transylvania_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-02|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-03|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-04|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-05|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-06|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-07|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-08|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-09|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-10|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-11|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-12|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-13|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-14|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-15|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-16|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-17|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-18|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-19|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-20|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-21|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-22|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-23|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-24|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-25|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-26|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-27|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
0|2020-01-28|13981.0|0|533.5|0|3.675634710117469|0|14514.5|0
