|dates|Meagher_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Meagher_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Meagher_Montana_UnitedStates.Male_Total_Population.data|Meagher_Montana_UnitedStates.Male_Total_Population.missing|Meagher_Montana_UnitedStates.Female_Total_Population.data|Meagher_Montana_UnitedStates.Female_Total_Population.missing|Meagher_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Meagher_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-02|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-03|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-04|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-05|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-06|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-07|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-08|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-09|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-10|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-11|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-12|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-13|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-14|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-15|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-16|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-17|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-18|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-19|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-20|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-21|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-22|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-23|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-24|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-25|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-26|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-27|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-28|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-29|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-30|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-01-31|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-01|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-02|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-03|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-04|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-05|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-06|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-07|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-08|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-09|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-10|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-11|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-12|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-13|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-14|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-15|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-16|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-17|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-18|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-19|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-20|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-21|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-22|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-23|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-24|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-25|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-26|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-27|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-28|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-02-29|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-01|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-02|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-03|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-04|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-05|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-06|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-07|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-08|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-09|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-10|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-11|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-12|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-13|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-14|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-15|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-16|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-17|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-18|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-19|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-20|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-21|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-22|573.0|0|943.0|0|923.0|0|361.0|0
0|2020-03-23|573.0|0|943.0|0|923.0|0|361.0|0
