|dates|Lincoln_Colorado_UnitedStates.BLS_EmployedPopulation.data|Lincoln_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Lincoln_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Lincoln_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Lincoln_Colorado_UnitedStates.BLS_UnemploymentRate.data|Lincoln_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Lincoln_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Lincoln_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-02|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-03|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-04|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-05|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-06|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-07|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-08|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-09|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-10|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-11|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-12|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-13|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-14|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-15|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-16|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-17|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-18|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-19|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-20|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-21|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
0|2020-01-22|2263.5|0|70.0|0|2.9997857295907435|0|2333.5|0
