|dates|Knox_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Knox_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Knox_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Knox_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Knox_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Knox_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Knox_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Knox_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-02|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-03|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-04|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-05|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-06|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-07|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-08|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-09|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-10|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-11|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-12|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-13|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-14|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-15|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-16|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-17|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-18|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-19|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-20|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-21|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-22|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-23|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
0|2020-01-24|9412.0|0|603.0|0|6.020968547179232|0|10015.0|0
