|dates|Glacier_Montana_UnitedStates.BLS_EmployedPopulation.data|Glacier_Montana_UnitedStates.BLS_EmployedPopulation.missing|Glacier_Montana_UnitedStates.BLS_UnemployedPopulation.data|Glacier_Montana_UnitedStates.BLS_UnemployedPopulation.missing|Glacier_Montana_UnitedStates.BLS_UnemploymentRate.data|Glacier_Montana_UnitedStates.BLS_UnemploymentRate.missing|Glacier_Montana_UnitedStates.BLS_LaborForcePopulation.data|Glacier_Montana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-02|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-03|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-04|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-05|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-06|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-07|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-08|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-09|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-10|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-11|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-12|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-13|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-14|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-15|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-16|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-17|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-18|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-19|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
0|2020-01-20|5025.5|0|476.0|0|8.652185767517949|0|5501.5|0
