|dates|Potter_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Potter_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Potter_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Potter_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Potter_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Potter_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Potter_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Potter_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-02|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-03|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-04|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-05|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-06|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-07|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-08|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-09|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-10|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-11|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-12|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-13|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-14|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-15|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-16|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-17|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-18|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-19|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-20|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-21|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-22|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-23|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-24|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-25|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-26|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-27|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-28|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-29|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-30|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-01-31|6548.0|0|660.5|0|9.162793923839912|0|7208.5|0
0|2020-02-01|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-02|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-03|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-04|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-05|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-06|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-07|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-08|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-09|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-10|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-11|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-12|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-13|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-14|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-15|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-16|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-17|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-18|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-19|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-20|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-21|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-22|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-23|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-24|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-25|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-26|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-27|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
0|2020-02-28|6605.0|0|650.5|0|8.965612294121701|0|7255.5|0
