|dates|Lexington_Virginia_UnitedStates.BLS_EmployedPopulation.data|Lexington_Virginia_UnitedStates.BLS_EmployedPopulation.missing|Lexington_Virginia_UnitedStates.BLS_UnemployedPopulation.data|Lexington_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|Lexington_Virginia_UnitedStates.BLS_UnemploymentRate.data|Lexington_Virginia_UnitedStates.BLS_UnemploymentRate.missing|Lexington_Virginia_UnitedStates.BLS_LaborForcePopulation.data|Lexington_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-02|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-03|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-04|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-05|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-06|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-07|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-08|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-09|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-10|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-11|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-12|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-13|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-14|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-15|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-16|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-17|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-18|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-19|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-20|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-21|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-22|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-23|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-24|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-25|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-26|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-27|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-28|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-29|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-30|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-01-31|2026.0|0|97.0|0|4.569006123410269|0|2123.0|0
0|2020-02-01|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-02|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-03|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-04|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-05|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-06|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-07|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-08|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-09|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-10|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-11|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-12|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-13|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-14|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-15|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-16|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-17|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-18|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-19|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-20|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-21|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-22|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-23|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-24|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-25|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-26|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-27|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-28|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-02-29|2054.5|0|77.5|0|3.6350844277673544|0|2132.0|0
0|2020-03-01|2049.5|0|96.0|0|4.474481472850152|0|2145.5|0
0|2020-03-02|2049.5|0|96.0|0|4.474481472850152|0|2145.5|0
0|2020-03-03|2049.5|0|96.0|0|4.474481472850152|0|2145.5|0
0|2020-03-04|2049.5|0|96.0|0|4.474481472850152|0|2145.5|0
0|2020-03-05|2049.5|0|96.0|0|4.474481472850152|0|2145.5|0
0|2020-03-06|2049.5|0|96.0|0|4.474481472850152|0|2145.5|0
0|2020-03-07|2049.5|0|96.0|0|4.474481472850152|0|2145.5|0
