|dates|Waseca_Minnesota_UnitedStates.BLS_EmployedPopulation.data|Waseca_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|Waseca_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|Waseca_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|Waseca_Minnesota_UnitedStates.BLS_UnemploymentRate.data|Waseca_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|Waseca_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|Waseca_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-02|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-03|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-04|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-05|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-06|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-07|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-08|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-09|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-10|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-11|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-12|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-13|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-14|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-15|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-16|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-17|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-18|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-19|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-20|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
0|2020-01-21|8382.0|0|512.5|0|5.76198774523582|0|8894.5|0
