|dates|Moffat_Colorado_UnitedStates.AveragePrecipitationTotal.data|Moffat_Colorado_UnitedStates.AveragePrecipitationTotal.missing|Moffat_Colorado_UnitedStates.AveragePrecipitation.data|Moffat_Colorado_UnitedStates.AveragePrecipitation.missing|Moffat_Colorado_UnitedStates.AverageWindDirection.data|Moffat_Colorado_UnitedStates.AverageWindDirection.missing|Moffat_Colorado_UnitedStates.AverageWindSpeed.data|Moffat_Colorado_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0076388888888888895|0|149.65277777777777|0|5.222916666666666|0
0|2020-01-02|0.0036111111111111114|0|0.0|0|180.57638888888889|0|5.976388888888889|0
0|2020-01-03|0.0|0|0.0|0|53.75|0|1.75|0
0|2020-01-04|0.0|0|0.0|0|89.16666666666667|0|2.3125|0
0|2020-01-05|0.0|0|0.0|0|127.13541666666667|0|3.8229166666666665|0
0|2020-01-06|0.0|0|0.0|0|90.0|0|4.458333333333333|0
0|2020-01-07|0.0|0|0.0|0|78.33333333333333|0|2.2083333333333335|0
0|2020-01-08|0.0|0|0.0003125|0|135.25694444444443|0|4.553472222222222|0
0|2020-01-09|0.0004166666666666667|0|0.0011696428571428572|0|72.52083333333333|0|2.1208333333333336|0
0|2020-01-10|0.0007142857142857143|0|0.0028333333333333335|0|170.2222222222222|0|3.5255952380952382|0
0|2020-01-11|0.0016666666666666668|0|0.001597222222222222|0|116.91964285714285|0|3.8759920634920637|0
0|2020-01-12|0.002916666666666667|0|0.0|0|73.49305555555556|0|2.047222222222222|0
0|2020-01-13|0.0001388888888888889|0|0.0001388888888888889|0|122.72916666666667|0|6.226388888888889|0
0|2020-01-14|0.0|0|0.0009270833333333333|0|153.78125|0|8.101041666666667|0
0|2020-01-15|0.0025|0|0.0011458333333333333|0|91.42361111111113|0|2.3229166666666665|0
0|2020-01-16|0.0|0|0.0|0|142.08333333333334|0|3.0416666666666665|0
0|2020-01-17|0.0|0|0.001826388888888889|0|150.24305555555557|0|8.502083333333333|0
0|2020-01-18|0.0033333333333333335|0|0.0|0|70.0|0|1.75|0
0|2020-01-19|0.0|0|0.0|0|51.25|0|0.7083333333333334|0
0|2020-01-20|0.0|0|0.0|0|50.236111111111114|0|1.0666666666666667|0
0|2020-01-21|0.0|0|0.003444444444444445|0|101.89583333333336|0|3.9048611111111104|0
0|2020-01-22|0.0025|0|0.0004166666666666667|0|142.19593253968253|0|3.5455357142857142|0
