|dates|Wharton_Texas_UnitedStates.BLS_EmployedPopulation.data|Wharton_Texas_UnitedStates.BLS_EmployedPopulation.missing|Wharton_Texas_UnitedStates.BLS_UnemployedPopulation.data|Wharton_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Wharton_Texas_UnitedStates.BLS_UnemploymentRate.data|Wharton_Texas_UnitedStates.BLS_UnemploymentRate.missing|Wharton_Texas_UnitedStates.BLS_LaborForcePopulation.data|Wharton_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-02|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-03|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-04|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-05|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-06|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-07|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-08|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-09|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-10|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-11|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-12|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-13|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-14|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-15|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-16|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-17|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-18|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-19|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-20|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-21|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-22|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-23|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-24|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-25|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-26|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-27|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-28|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-29|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-30|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-01-31|20917.0|0|839.5|0|3.858616965044929|0|21756.5|0
0|2020-02-01|21252.0|0|786.5|0|3.5687546793112053|0|22038.5|0
