|dates|Onondaga_NewYork_UnitedStates.BLS_EmployedPopulation.data|Onondaga_NewYork_UnitedStates.BLS_EmployedPopulation.missing|Onondaga_NewYork_UnitedStates.BLS_UnemployedPopulation.data|Onondaga_NewYork_UnitedStates.BLS_UnemployedPopulation.missing|Onondaga_NewYork_UnitedStates.BLS_UnemploymentRate.data|Onondaga_NewYork_UnitedStates.BLS_UnemploymentRate.missing|Onondaga_NewYork_UnitedStates.BLS_LaborForcePopulation.data|Onondaga_NewYork_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-02|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-03|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-04|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-05|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-06|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-07|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-08|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-09|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-10|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-11|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-12|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-13|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-14|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-15|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-16|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-17|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-18|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-19|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-20|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-21|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-22|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-23|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-24|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-25|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-26|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-27|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-28|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-29|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-30|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-01-31|211640.5|0|9575.0|0|4.328358546304395|0|221215.5|0
0|2020-02-01|210880.5|0|9502.5|0|4.311811709614625|0|220383.0|0
0|2020-02-02|210880.5|0|9502.5|0|4.311811709614625|0|220383.0|0
0|2020-02-03|210880.5|0|9502.5|0|4.311811709614625|0|220383.0|0
0|2020-02-04|210880.5|0|9502.5|0|4.311811709614625|0|220383.0|0
