|dates|SanLuisObispo_California_UnitedStates.BLS_EmployedPopulation.data|SanLuisObispo_California_UnitedStates.BLS_EmployedPopulation.missing|SanLuisObispo_California_UnitedStates.BLS_UnemployedPopulation.data|SanLuisObispo_California_UnitedStates.BLS_UnemployedPopulation.missing|SanLuisObispo_California_UnitedStates.BLS_UnemploymentRate.data|SanLuisObispo_California_UnitedStates.BLS_UnemploymentRate.missing|SanLuisObispo_California_UnitedStates.BLS_LaborForcePopulation.data|SanLuisObispo_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-02|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-03|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-04|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-05|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-06|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-07|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-08|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-09|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-10|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-11|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-12|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-13|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-14|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-15|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-16|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-17|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-18|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-19|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-20|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
0|2020-01-21|135358.0|0|4440.5|0|3.1763574001151658|0|139798.5|0
