|dates|Motley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Motley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Motley_Texas_UnitedStates.Male_Total_Population.data|Motley_Texas_UnitedStates.Male_Total_Population.missing|Motley_Texas_UnitedStates.Female_Total_Population.data|Motley_Texas_UnitedStates.Female_Total_Population.missing|Motley_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Motley_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-02|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-03|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-04|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-05|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-06|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-07|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-08|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-09|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-10|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-11|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-12|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-13|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-14|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-15|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-16|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-17|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-18|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-19|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-20|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-21|374.0|0|634.0|0|600.0|0|245.0|0
0|2020-01-22|374.0|0|634.0|0|600.0|0|245.0|0
