|dates|Jefferson_Montana_UnitedStates.BLS_EmployedPopulation.data|Jefferson_Montana_UnitedStates.BLS_EmployedPopulation.missing|Jefferson_Montana_UnitedStates.BLS_UnemployedPopulation.data|Jefferson_Montana_UnitedStates.BLS_UnemployedPopulation.missing|Jefferson_Montana_UnitedStates.BLS_UnemploymentRate.data|Jefferson_Montana_UnitedStates.BLS_UnemploymentRate.missing|Jefferson_Montana_UnitedStates.BLS_LaborForcePopulation.data|Jefferson_Montana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-02|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-03|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-04|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-05|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-06|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-07|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-08|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-09|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-10|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-11|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-12|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-13|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-14|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-15|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-16|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-17|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-18|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-19|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-20|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-21|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-22|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-23|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-24|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-25|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-26|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-27|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-28|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-29|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-30|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-01-31|5481.0|0|254.0|0|4.428945074106364|0|5735.0|0
0|2020-02-01|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-02|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-03|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-04|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-05|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-06|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-07|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-08|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-09|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-10|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-11|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-12|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-13|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-14|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-15|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-16|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-17|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-18|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-19|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-20|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-21|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-22|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-23|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-24|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-25|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-26|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-27|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-28|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-02-29|5529.0|0|231.0|0|4.010416666666667|0|5760.0|0
0|2020-03-01|5508.5|0|256.0|0|4.440974932778212|0|5764.5|0
0|2020-03-02|5508.5|0|256.0|0|4.440974932778212|0|5764.5|0
0|2020-03-03|5508.5|0|256.0|0|4.440974932778212|0|5764.5|0
0|2020-03-04|5508.5|0|256.0|0|4.440974932778212|0|5764.5|0
0|2020-03-05|5508.5|0|256.0|0|4.440974932778212|0|5764.5|0
0|2020-03-06|5508.5|0|256.0|0|4.440974932778212|0|5764.5|0
0|2020-03-07|5508.5|0|256.0|0|4.440974932778212|0|5764.5|0
