|dates|Osborne_Kansas_UnitedStates.BLS_EmployedPopulation.data|Osborne_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Osborne_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Osborne_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Osborne_Kansas_UnitedStates.BLS_UnemploymentRate.data|Osborne_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Osborne_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Osborne_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-02|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-03|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-04|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-05|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-06|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-07|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-08|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-09|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-10|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-11|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-12|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-13|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-14|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-15|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-16|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-17|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-18|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-19|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-20|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-21|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-22|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-23|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-24|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-25|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-26|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-27|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-28|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-29|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-30|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-01-31|1950.5|0|40.5|0|2.0341536916122553|0|1991.0|0
0|2020-02-01|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-02|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-03|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-04|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-05|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-06|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-07|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-08|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-09|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-10|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-11|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-12|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-13|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-14|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-15|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-16|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-17|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-18|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-19|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-20|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-21|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-22|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-23|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-24|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-25|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-26|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-27|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-28|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-02-29|1976.0|0|57.0|0|2.803738317757009|0|2033.0|0
0|2020-03-01|1933.5|0|49.5|0|2.496217851739788|0|1983.0|0
0|2020-03-02|1933.5|0|49.5|0|2.496217851739788|0|1983.0|0
0|2020-03-03|1933.5|0|49.5|0|2.496217851739788|0|1983.0|0
0|2020-03-04|1933.5|0|49.5|0|2.496217851739788|0|1983.0|0
0|2020-03-05|1933.5|0|49.5|0|2.496217851739788|0|1983.0|0
0|2020-03-06|1933.5|0|49.5|0|2.496217851739788|0|1983.0|0
0|2020-03-07|1933.5|0|49.5|0|2.496217851739788|0|1983.0|0
0|2020-03-08|1933.5|0|49.5|0|2.496217851739788|0|1983.0|0
