|dates|York_Maine_UnitedStates.AveragePrecipitationTotal.data|York_Maine_UnitedStates.AveragePrecipitationTotal.missing|York_Maine_UnitedStates.AveragePrecipitation.data|York_Maine_UnitedStates.AveragePrecipitation.missing|York_Maine_UnitedStates.AverageWindDirection.data|York_Maine_UnitedStates.AverageWindDirection.missing|York_Maine_UnitedStates.AverageWindSpeed.data|York_Maine_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|251.25|0|11.208333333333334|0
0|2020-01-02|0.0|0|0.0|0|208.33333333333334|0|7.416666666666667|0
0|2020-01-03|0.0|0|0.0|0|215.41666666666666|0|6.416666666666667|0
0|2020-01-04|0.0|0|0.0|0|109.54861111111113|0|5.300694444444445|0
0|2020-01-05|0.0|0|0.0|0|310.34722222222223|0|9.73611111111111|0
0|2020-01-06|0.0|0|0.0|0|70.41666666666667|0|2.569444444444444|0
0|2020-01-07|0.0|0|0.0|0|115.83333333333333|0|4.5|0
0|2020-01-08|0.0|0|0.0|0|220.48611111111111|0|8.170138888888888|0
0|2020-01-09|0.0|0|0.0|0|202.08333333333334|0|8.125|0
0|2020-01-10|0.0|0|0.0|0|110.0|0|3.625|0
0|2020-01-11|0.0|0|0.0|0|197.5|0|10.0|0
0|2020-01-12|0.0|0|0.0|0|159.83796296296296|0|8.122685185185185|0
0|2020-01-13|0.0|0|0.0|0|90.55555555555554|0|5.736111111111112|0
0|2020-01-14|0.0|0|0.0|0|69.30555555555556|0|2.7222222222222228|0
0|2020-01-15|0.0|0|0.0|0|156.26388888888889|0|5.116666666666666|0
0|2020-01-16|0.0|0|0.0|0|186.5625|0|6.677777777777778|0
0|2020-01-17|0.0|0|0.0|0|257.0833333333333|0|8.791666666666666|0
0|2020-01-18|0.0|0|0.0|0|109.65972222222221|0|2.966369047619048|0
0|2020-01-19|0.0|0|0.0|0|245.4652777777778|0|8.536805555555555|0
0|2020-01-20|0.0|0|0.0|0|255.41666666666666|0|7.375|0
0|2020-01-21|0.0|0|0.0|0|95.83333333333333|0|1.9166666666666667|0
0|2020-01-22|0.0|0|0.0|0|102.08333333333333|0|2.3125|0
0|2020-01-23|0.0|0|0.0|0|34.583333333333336|0|0.5|0
0|2020-01-24|0.0|0|0.0|0|45.625|0|6.0625|0
0|2020-01-25|0.0|0|0.0|0|67.25|0|9.164583333333333|0
0|2020-01-26|0.0|0|0.0|0|245.78373015873012|0|7.700396825396825|0
0|2020-01-27|0.0|0|0.0|0|263.3333333333333|0|7.8125|0
0|2020-01-28|0.0|0|0.0|0|285.2083333333333|0|7.458333333333333|0
0|2020-01-29|0.0|0|0.0|0|246.25|0|6.875|0
0|2020-01-30|0.0|0|0.0|0|28.75|0|1.4166666666666667|0
0|2020-01-31|0.0|0|0.0|0|112.5|0|3.25|0
0|2020-02-01|0.0|0|0.0|0|78.75|0|1.5416666666666667|0
0|2020-02-02|0.0|0|0.0|0|177.08333333333334|0|3.5833333333333335|0
0|2020-02-03|0.0|0|0.0|0|192.91666666666666|0|7.041666666666667|0
0|2020-02-04|0.0|0|0.0|0|59.375|0|2.4791666666666665|0
0|2020-02-05|0.0|0|0.0|0|170.0|0|4.958333333333333|0
0|2020-02-06|0.0|0|0.0|0|116.65972222222221|0|7.696527777777778|0
0|2020-02-07|0.0|0|0.0|0|58.9484126984127|0|9.431547619047619|0
0|2020-02-08|0.0|0|0.0|0|167.29166666666666|0|7.020833333333333|0
0|2020-02-09|0.0|0|0.0|0|29.791666666666668|0|0.6875|0
0|2020-02-10|0.0|0|0.0|0|131.79166666666666|0|4.618055555555555|0
0|2020-02-11|0.0|0|0.0|0|172.20833333333334|0|3.2513888888888887|0
0|2020-02-12|0.0|0|0.0|0|242.29166666666666|0|8.885416666666666|0
0|2020-02-13|0.0|0|0.0|0|99.74007936507935|0|2.538095238095238|0
0|2020-02-14|0.0|0|0.0|0|273.75|0|9.375|0
0|2020-02-15|0.0|0|0.0|0|87.08333333333333|0|3.0625|0
0|2020-02-16|0.0|0|0.0|0|169.16666666666666|0|6.333333333333333|0
0|2020-02-17|0.0|0|0.0|0|155.83333333333334|0|6.25|0
0|2020-02-18|0.0|0|0.0|0|120.74305555555554|0|5.385416666666667|0
0|2020-02-19|0.0|0|0.0|0|255.9027777777778|0|10.215277777777777|0
0|2020-02-20|0.0|0|0.0|0|212.08333333333334|0|6.458333333333333|0
0|2020-02-21|0.0|0|0.0|0|132.91666666666666|0|4.041666666666667|0
0|2020-02-22|0.0|0|0.0|0|244.58333333333334|0|9.583333333333334|0
0|2020-02-23|0.0|0|0.0|0|75.41666666666667|0|2.625|0
0|2020-02-24|0.0|0|0.0|0|63.75|0|2.2916666666666665|0
0|2020-02-25|0.0|0|0.0|0|46.666666666666664|0|1.75|0
0|2020-02-26|0.0|0|0.0|0|79.86111111111111|0|5.284722222222222|0
0|2020-02-27|0.006666666666666667|0|0.0563888888888889|0|168.61111111111111|0|17.472222222222225|0
0|2020-02-28|0.059166666666666666|0|0.0|0|245.41666666666666|0|14.041666666666666|0
0|2020-02-29|0.0|0|0.0|0|233.75|0|8.5|0
0|2020-03-01|0.0|0|0.0|0|259.1666666666667|0|8.375|0
0|2020-03-02|0.0|0|0.0|0|50.416666666666664|0|3.027777777777778|0
0|2020-03-03|0.0|0|0.0020833333333333333|0|144.44444444444446|0|5.361111111111112|0
0|2020-03-04|0.0033333333333333335|0|0.0006111111111111112|0|249.44444444444446|0|17.086111111111112|0
0|2020-03-05|0.0|0|0.0|0|228.75|0|9.083333333333334|0
0|2020-03-06|0.0|0|0.0|0|55.41666666666666|0|9.86111111111111|0
0|2020-03-07|0.0|0|0.0|0|255.83333333333334|0|15.083333333333334|0
0|2020-03-08|0.0|0|0.0|0|239.58333333333334|0|8.4375|0
0|2020-03-09|0.0|0|0.0|0|152.5|0|5.375|0
0|2020-03-10|0.0|0|0.0|0|70.34722222222221|0|4.291666666666667|0
0|2020-03-11|0.0|0|0.0|0|206.25|0|7.166666666666667|0
0|2020-03-12|0.0|0|0.0|0|54.65277777777777|0|4.652777777777778|0
0|2020-03-13|0.0075|0|0.020152777777777773|0|181.81944444444443|0|9.584722222222222|0
0|2020-03-14|0.02|0|0.0|0|272.9166666666667|0|14.666666666666666|0
0|2020-03-15|0.0|0|0.0|0|175.41666666666666|0|6.458333333333333|0
0|2020-03-16|0.0|0|0.0|0|107.91666666666667|0|4.083333333333333|0
0|2020-03-17|0.0|0|0.0007638888888888889|0|111.70634920634922|0|2.8373015873015874|0
