|dates|Sandusky_Ohio_UnitedStates.BLS_EmployedPopulation.data|Sandusky_Ohio_UnitedStates.BLS_EmployedPopulation.missing|Sandusky_Ohio_UnitedStates.BLS_UnemployedPopulation.data|Sandusky_Ohio_UnitedStates.BLS_UnemployedPopulation.missing|Sandusky_Ohio_UnitedStates.BLS_UnemploymentRate.data|Sandusky_Ohio_UnitedStates.BLS_UnemploymentRate.missing|Sandusky_Ohio_UnitedStates.BLS_LaborForcePopulation.data|Sandusky_Ohio_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-02|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-03|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-04|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-05|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-06|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-07|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-08|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-09|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-10|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-11|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-12|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-13|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-14|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-15|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-16|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-17|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-18|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-19|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-20|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-21|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-22|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-23|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-24|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-25|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-26|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-27|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-28|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-29|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-30|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-01-31|28535.5|0|1783.0|0|5.880897801672246|0|30318.5|0
0|2020-02-01|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-02|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-03|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-04|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-05|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-06|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-07|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-08|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-09|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-10|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-11|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-12|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-13|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-14|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-15|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-16|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-17|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-18|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-19|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-20|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-21|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-22|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-23|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-24|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-25|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-26|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-27|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-28|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-02-29|28978.5|0|1599.0|0|5.229335295560461|0|30577.5|0
0|2020-03-01|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-02|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-03|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-04|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-05|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-06|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-07|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-08|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-09|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-10|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-11|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-12|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-13|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-14|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-15|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-16|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-17|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-18|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-19|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-20|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-21|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-22|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-23|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-24|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-25|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-26|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-27|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-28|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-29|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-30|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-03-31|28642.5|0|1748.0|0|5.751797436698968|0|30390.5|0
0|2020-04-01|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-02|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-03|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-04|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-05|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-06|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-07|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-08|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-09|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-10|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-11|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-12|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-13|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-14|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-15|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-16|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-17|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-18|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-19|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-20|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-21|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-22|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-23|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-24|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-25|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-26|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-27|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-28|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-29|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-04-30|24035.0|0|5819.5|0|19.492873771123282|0|29854.5|0
0|2020-05-01|25522.0|0|5239.0|0|17.03130587432138|0|30761.0|0
0|2020-05-02|25522.0|0|5239.0|0|17.03130587432138|0|30761.0|0
0|2020-05-03|25522.0|0|5239.0|0|17.03130587432138|0|30761.0|0
