|dates|Frontier_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Frontier_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Frontier_Nebraska_UnitedStates.Male_Total_Population.data|Frontier_Nebraska_UnitedStates.Male_Total_Population.missing|Frontier_Nebraska_UnitedStates.Female_Total_Population.data|Frontier_Nebraska_UnitedStates.Female_Total_Population.missing|Frontier_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Frontier_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-02|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-03|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-04|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-05|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-06|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-07|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-08|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-09|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-10|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-11|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-12|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-13|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-14|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-15|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-16|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-17|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-18|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-19|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-20|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-21|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-22|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-23|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-24|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-25|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-26|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-27|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-28|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-29|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-30|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-01-31|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-01|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-02|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-03|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-04|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-05|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-06|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-07|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-08|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-09|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-10|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-11|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-12|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-13|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-14|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-15|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-16|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-17|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-18|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-19|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-20|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-21|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-22|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-23|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-24|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-25|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-26|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-27|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-28|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-02-29|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-01|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-02|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-03|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-04|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-05|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-06|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-07|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-08|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-09|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-10|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-11|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-12|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-13|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-14|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-15|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-16|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-17|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-18|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-19|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-20|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-21|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-22|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-23|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-24|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-25|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-26|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-27|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-28|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-29|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-30|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-03-31|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-01|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-02|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-03|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-04|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-05|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-06|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-07|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-08|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-09|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-10|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-11|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-12|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-13|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-14|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-15|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-16|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-17|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-18|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-19|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-20|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-21|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-22|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-23|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-24|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-25|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-26|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-27|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-28|623.0|0|1333.0|0|1275.0|0|494.0|0
0|2020-04-29|623.0|0|1333.0|0|1275.0|0|494.0|0
