|dates|Cass_Indiana_UnitedStates.BLS_EmployedPopulation.data|Cass_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Cass_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Cass_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Cass_Indiana_UnitedStates.BLS_UnemploymentRate.data|Cass_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Cass_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Cass_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-03-05|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-06|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-07|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-08|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-09|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-10|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-11|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-12|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-13|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-14|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-15|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-16|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-17|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-18|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-19|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-20|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-21|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-22|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-23|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-24|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-25|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-26|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-27|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-28|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-29|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-30|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-03-31|16478.5|0|688.5|0|4.010601735888623|0|17167.0|0
0|2020-04-01|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-02|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-03|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-04|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-05|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-06|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-07|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-08|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-09|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
0|2020-04-10|14335.0|0|2906.5|0|16.857581996926022|0|17241.5|0
