|dates|Ohio_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Ohio_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Ohio_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Ohio_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Ohio_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Ohio_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Ohio_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Ohio_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-02|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-03|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-04|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-05|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-06|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-07|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-08|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-09|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-10|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-11|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-12|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-13|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-14|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-15|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-16|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-17|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-18|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-19|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-20|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
0|2020-01-21|9244.0|0|597.5|0|6.071228979322258|0|9841.5|0
