|dates|Rensselaer_NewYork_UnitedStates.BLS_EmployedPopulation.data|Rensselaer_NewYork_UnitedStates.BLS_EmployedPopulation.missing|Rensselaer_NewYork_UnitedStates.BLS_UnemployedPopulation.data|Rensselaer_NewYork_UnitedStates.BLS_UnemployedPopulation.missing|Rensselaer_NewYork_UnitedStates.BLS_UnemploymentRate.data|Rensselaer_NewYork_UnitedStates.BLS_UnemploymentRate.missing|Rensselaer_NewYork_UnitedStates.BLS_LaborForcePopulation.data|Rensselaer_NewYork_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-02|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-03|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-04|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-05|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-06|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-07|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-08|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-09|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-10|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-11|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-12|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-13|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-14|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-15|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-16|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-17|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-18|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-19|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-20|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-21|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-22|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-23|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-24|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-25|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-26|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-27|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-28|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-29|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-30|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-01-31|78362.5|0|3425.0|0|4.187681491670488|0|81787.5|0
0|2020-02-01|78287.0|0|3372.0|0|4.129367246721121|0|81659.0|0
0|2020-02-02|78287.0|0|3372.0|0|4.129367246721121|0|81659.0|0
0|2020-02-03|78287.0|0|3372.0|0|4.129367246721121|0|81659.0|0
0|2020-02-04|78287.0|0|3372.0|0|4.129367246721121|0|81659.0|0
0|2020-02-05|78287.0|0|3372.0|0|4.129367246721121|0|81659.0|0
0|2020-02-06|78287.0|0|3372.0|0|4.129367246721121|0|81659.0|0
0|2020-02-07|78287.0|0|3372.0|0|4.129367246721121|0|81659.0|0
0|2020-02-08|78287.0|0|3372.0|0|4.129367246721121|0|81659.0|0
