|dates|Anderson_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Anderson_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Anderson_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Anderson_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Anderson_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Anderson_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Anderson_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Anderson_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-02|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-03|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-04|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-05|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-06|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-07|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-08|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-09|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-10|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-11|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-12|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-13|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-14|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-15|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-16|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-17|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-18|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-19|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-20|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-21|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-22|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-23|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-24|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-25|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-26|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
0|2020-01-27|88388.0|0|2574.5|0|2.8302872062663185|0|90962.5|0
