|dates|Rice_Kansas_UnitedStates.BLS_EmployedPopulation.data|Rice_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Rice_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Rice_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Rice_Kansas_UnitedStates.BLS_UnemploymentRate.data|Rice_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Rice_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Rice_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-02|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-03|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-04|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-05|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-06|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-07|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-08|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-09|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-10|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-11|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-12|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-13|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-14|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-15|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-16|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-17|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-18|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-19|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-20|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-21|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-22|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
0|2020-01-23|4943.0|0|140.5|0|2.7638438083997245|0|5083.5|0
