|dates|Vigo_Indiana_UnitedStates.BLS_EmployedPopulation.data|Vigo_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Vigo_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Vigo_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Vigo_Indiana_UnitedStates.BLS_UnemploymentRate.data|Vigo_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Vigo_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Vigo_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-02|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-03|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-04|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-05|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-06|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-07|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-08|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-09|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-10|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-11|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-12|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-13|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-14|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-15|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-16|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-17|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-18|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-19|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-20|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-21|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-22|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-23|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-24|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-25|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-26|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-27|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-28|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-29|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-30|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-01-31|45182.5|0|2175.0|0|4.592725545056221|0|47357.5|0
0|2020-02-01|45406.0|0|2053.5|0|4.326847101212613|0|47459.5|0
0|2020-02-02|45406.0|0|2053.5|0|4.326847101212613|0|47459.5|0
0|2020-02-03|45406.0|0|2053.5|0|4.326847101212613|0|47459.5|0
0|2020-02-04|45406.0|0|2053.5|0|4.326847101212613|0|47459.5|0
0|2020-02-05|45406.0|0|2053.5|0|4.326847101212613|0|47459.5|0
0|2020-02-06|45406.0|0|2053.5|0|4.326847101212613|0|47459.5|0
0|2020-02-07|45406.0|0|2053.5|0|4.326847101212613|0|47459.5|0
0|2020-02-08|45406.0|0|2053.5|0|4.326847101212613|0|47459.5|0
0|2020-02-09|45406.0|0|2053.5|0|4.326847101212613|0|47459.5|0
0|2020-02-10|45406.0|0|2053.5|0|4.326847101212613|0|47459.5|0
0|2020-02-11|45406.0|0|2053.5|0|4.326847101212613|0|47459.5|0
0|2020-02-12|45406.0|0|2053.5|0|4.326847101212613|0|47459.5|0
0|2020-02-13|45406.0|0|2053.5|0|4.326847101212613|0|47459.5|0
