|dates|Marion_Florida_UnitedStates.BLS_EmployedPopulation.data|Marion_Florida_UnitedStates.BLS_EmployedPopulation.missing|Marion_Florida_UnitedStates.BLS_UnemployedPopulation.data|Marion_Florida_UnitedStates.BLS_UnemployedPopulation.missing|Marion_Florida_UnitedStates.BLS_UnemploymentRate.data|Marion_Florida_UnitedStates.BLS_UnemploymentRate.missing|Marion_Florida_UnitedStates.BLS_LaborForcePopulation.data|Marion_Florida_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-02|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-03|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-04|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-05|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-06|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-07|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-08|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-09|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-10|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-11|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-12|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-13|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-14|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-15|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-16|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-17|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-18|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-19|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-20|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-21|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-22|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-23|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-24|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-25|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-26|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-27|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-28|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-29|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-30|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-01-31|133780.0|0|5732.5|0|4.108950810859242|0|139512.5|0
0|2020-02-01|134814.5|0|5323.0|0|3.7984122736597983|0|140137.5|0
0|2020-02-02|134814.5|0|5323.0|0|3.7984122736597983|0|140137.5|0
0|2020-02-03|134814.5|0|5323.0|0|3.7984122736597983|0|140137.5|0
0|2020-02-04|134814.5|0|5323.0|0|3.7984122736597983|0|140137.5|0
0|2020-02-05|134814.5|0|5323.0|0|3.7984122736597983|0|140137.5|0
0|2020-02-06|134814.5|0|5323.0|0|3.7984122736597983|0|140137.5|0
0|2020-02-07|134814.5|0|5323.0|0|3.7984122736597983|0|140137.5|0
0|2020-02-08|134814.5|0|5323.0|0|3.7984122736597983|0|140137.5|0
0|2020-02-09|134814.5|0|5323.0|0|3.7984122736597983|0|140137.5|0
