|dates|Penobscot_Maine_UnitedStates.BLS_EmployedPopulation.data|Penobscot_Maine_UnitedStates.BLS_EmployedPopulation.missing|Penobscot_Maine_UnitedStates.BLS_UnemployedPopulation.data|Penobscot_Maine_UnitedStates.BLS_UnemployedPopulation.missing|Penobscot_Maine_UnitedStates.BLS_UnemploymentRate.data|Penobscot_Maine_UnitedStates.BLS_UnemploymentRate.missing|Penobscot_Maine_UnitedStates.BLS_LaborForcePopulation.data|Penobscot_Maine_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-02|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-03|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-04|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-05|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-06|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-07|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-08|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-09|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-10|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-11|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-12|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-13|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-14|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-15|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-16|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-17|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-18|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-19|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-20|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-21|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-22|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-23|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-24|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-25|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-26|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-27|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-28|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-29|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-30|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-01-31|73560.5|0|3022.0|0|3.9460712303724743|0|76582.5|0
0|2020-02-01|74381.0|0|3164.0|0|4.0802114901025215|0|77545.0|0
0|2020-02-02|74381.0|0|3164.0|0|4.0802114901025215|0|77545.0|0
0|2020-02-03|74381.0|0|3164.0|0|4.0802114901025215|0|77545.0|0
0|2020-02-04|74381.0|0|3164.0|0|4.0802114901025215|0|77545.0|0
0|2020-02-05|74381.0|0|3164.0|0|4.0802114901025215|0|77545.0|0
