|dates|Nassau_NewYork_UnitedStates.BLS_EmployedPopulation.data|Nassau_NewYork_UnitedStates.BLS_EmployedPopulation.missing|Nassau_NewYork_UnitedStates.BLS_UnemployedPopulation.data|Nassau_NewYork_UnitedStates.BLS_UnemployedPopulation.missing|Nassau_NewYork_UnitedStates.BLS_UnemploymentRate.data|Nassau_NewYork_UnitedStates.BLS_UnemploymentRate.missing|Nassau_NewYork_UnitedStates.BLS_LaborForcePopulation.data|Nassau_NewYork_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-02|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-03|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-04|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-05|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-06|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-07|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-08|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-09|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-10|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-11|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-12|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-13|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-14|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-15|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-16|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-17|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-18|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-19|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-20|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-21|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-22|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-23|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-24|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-25|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-26|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
0|2020-01-27|685569.0|0|25438.5|0|3.5778103606502043|0|711007.5|0
