|dates|Huerfano_Colorado_UnitedStates.BLS_EmployedPopulation.data|Huerfano_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Huerfano_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Huerfano_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Huerfano_Colorado_UnitedStates.BLS_UnemploymentRate.data|Huerfano_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Huerfano_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Huerfano_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-02|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-03|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-04|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-05|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-06|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-07|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-08|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-09|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-10|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-11|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-12|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-13|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-14|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-15|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-16|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-17|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-18|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
0|2020-01-19|2293.5|0|179.5|0|7.258390618681763|0|2473.0|0
