|dates|Union_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Union_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Union_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Union_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Union_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Union_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Union_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Union_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-02|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-03|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-04|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-05|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-06|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-07|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-08|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-09|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-10|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-11|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-12|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-13|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-14|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-15|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-16|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-17|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-18|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-19|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-20|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-21|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-22|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-23|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-24|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-25|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-26|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-27|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-28|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-29|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-30|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-01-31|11239.0|0|423.5|0|3.6312968917470525|0|11662.5|0
0|2020-02-01|11263.5|0|445.5|0|3.8047655649500385|0|11709.0|0
0|2020-02-02|11263.5|0|445.5|0|3.8047655649500385|0|11709.0|0
0|2020-02-03|11263.5|0|445.5|0|3.8047655649500385|0|11709.0|0
0|2020-02-04|11263.5|0|445.5|0|3.8047655649500385|0|11709.0|0
0|2020-02-05|11263.5|0|445.5|0|3.8047655649500385|0|11709.0|0
0|2020-02-06|11263.5|0|445.5|0|3.8047655649500385|0|11709.0|0
0|2020-02-07|11263.5|0|445.5|0|3.8047655649500385|0|11709.0|0
0|2020-02-08|11263.5|0|445.5|0|3.8047655649500385|0|11709.0|0
