|dates|LaPorte_Indiana_UnitedStates.BLS_EmployedPopulation.data|LaPorte_Indiana_UnitedStates.BLS_EmployedPopulation.missing|LaPorte_Indiana_UnitedStates.BLS_UnemployedPopulation.data|LaPorte_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|LaPorte_Indiana_UnitedStates.BLS_UnemploymentRate.data|LaPorte_Indiana_UnitedStates.BLS_UnemploymentRate.missing|LaPorte_Indiana_UnitedStates.BLS_LaborForcePopulation.data|LaPorte_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-02|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-03|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-04|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-05|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-06|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-07|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-08|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-09|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-10|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-11|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-12|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-13|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-14|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-15|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-16|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-17|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-18|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-19|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-20|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-21|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-22|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-23|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-24|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-25|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-26|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-27|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-28|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-29|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-30|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-01-31|45151.5|0|2249.5|0|4.745680470876142|0|47401.0|0
0|2020-02-01|45154.5|0|2245.5|0|4.737341772151899|0|47400.0|0
0|2020-02-02|45154.5|0|2245.5|0|4.737341772151899|0|47400.0|0
0|2020-02-03|45154.5|0|2245.5|0|4.737341772151899|0|47400.0|0
0|2020-02-04|45154.5|0|2245.5|0|4.737341772151899|0|47400.0|0
0|2020-02-05|45154.5|0|2245.5|0|4.737341772151899|0|47400.0|0
0|2020-02-06|45154.5|0|2245.5|0|4.737341772151899|0|47400.0|0
0|2020-02-07|45154.5|0|2245.5|0|4.737341772151899|0|47400.0|0
0|2020-02-08|45154.5|0|2245.5|0|4.737341772151899|0|47400.0|0
0|2020-02-09|45154.5|0|2245.5|0|4.737341772151899|0|47400.0|0
0|2020-02-10|45154.5|0|2245.5|0|4.737341772151899|0|47400.0|0
