|dates|Concho_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Concho_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Concho_Texas_UnitedStates.Male_Total_Population.data|Concho_Texas_UnitedStates.Male_Total_Population.missing|Concho_Texas_UnitedStates.Female_Total_Population.data|Concho_Texas_UnitedStates.Female_Total_Population.missing|Concho_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Concho_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-02|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-03|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-04|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-05|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-06|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-07|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-08|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-09|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-10|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-11|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-12|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-13|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-14|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-15|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-16|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-17|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-18|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-19|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-20|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-21|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-22|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-23|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-24|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-25|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-26|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-27|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-28|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-29|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-30|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-01-31|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-01|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-02|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-03|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-04|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-05|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-06|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-07|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-08|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-09|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-10|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-11|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-12|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-13|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-14|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-15|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-16|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-17|756.0|0|3020.0|0|1256.0|0|509.0|0
0|2020-02-18|756.0|0|3020.0|0|1256.0|0|509.0|0
