|dates|Mountrail_NorthDakota_UnitedStates.BLS_EmployedPopulation.data|Mountrail_NorthDakota_UnitedStates.BLS_EmployedPopulation.missing|Mountrail_NorthDakota_UnitedStates.BLS_UnemployedPopulation.data|Mountrail_NorthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Mountrail_NorthDakota_UnitedStates.BLS_UnemploymentRate.data|Mountrail_NorthDakota_UnitedStates.BLS_UnemploymentRate.missing|Mountrail_NorthDakota_UnitedStates.BLS_LaborForcePopulation.data|Mountrail_NorthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-02|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-03|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-04|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-05|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-06|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-07|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-08|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-09|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-10|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-11|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-12|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-13|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-14|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-15|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-16|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-17|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-18|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-19|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-20|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-21|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-22|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-23|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-24|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-25|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-26|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-27|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-28|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-29|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-30|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-01-31|7193.5|0|121.5|0|1.6609706083390294|0|7315.0|0
0|2020-02-01|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-02|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-03|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-04|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-05|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-06|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-07|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-08|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-09|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-10|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-11|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-12|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-13|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-14|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-15|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-16|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-17|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-18|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-19|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-20|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-21|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-22|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-23|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-24|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-25|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-26|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-27|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-28|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-02-29|7091.0|0|124.5|0|1.7254521516180445|0|7215.5|0
0|2020-03-01|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-02|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-03|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-04|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-05|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-06|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-07|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-08|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-09|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-10|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-11|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-12|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-13|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-14|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-15|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-16|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-17|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-18|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-19|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
0|2020-03-20|7031.0|0|124.5|0|1.7399203409964363|0|7155.5|0
