|dates|Cocke_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Cocke_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Cocke_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Cocke_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Cocke_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Cocke_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Cocke_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Cocke_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-02|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-03|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-04|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-05|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-06|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-07|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-08|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-09|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-10|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-11|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-12|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-13|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-14|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-15|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-16|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-17|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-18|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-19|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-20|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-21|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-22|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-23|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-24|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-25|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-26|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-27|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-28|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-29|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-30|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-01-31|13935.0|0|1024.0|0|6.845377364797112|0|14959.0|0
0|2020-02-01|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-02|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-03|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-04|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-05|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-06|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-07|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-08|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-09|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-10|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-11|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-12|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-13|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-14|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-15|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-16|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-17|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-18|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-19|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-20|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-21|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-22|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-23|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-24|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-25|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-26|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-27|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-28|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-02-29|13927.5|0|960.0|0|6.448362720403023|0|14887.5|0
0|2020-03-01|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-02|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-03|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-04|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-05|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-06|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-07|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-08|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-09|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-10|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-11|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-12|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-13|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-14|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-15|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-16|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-17|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-18|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-19|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-20|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-21|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-22|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-23|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-24|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
0|2020-03-25|14011.0|0|811.5|0|5.474784955304436|0|14822.5|0
