|dates|SanJuan_Utah_UnitedStates.BLS_EmployedPopulation.data|SanJuan_Utah_UnitedStates.BLS_EmployedPopulation.missing|SanJuan_Utah_UnitedStates.BLS_UnemployedPopulation.data|SanJuan_Utah_UnitedStates.BLS_UnemployedPopulation.missing|SanJuan_Utah_UnitedStates.BLS_UnemploymentRate.data|SanJuan_Utah_UnitedStates.BLS_UnemploymentRate.missing|SanJuan_Utah_UnitedStates.BLS_LaborForcePopulation.data|SanJuan_Utah_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-02|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-03|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-04|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-05|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-06|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-07|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-08|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-09|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-10|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-11|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-12|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-13|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-14|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-15|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-16|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-17|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-18|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-19|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-20|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
0|2020-01-21|4997.5|0|427.5|0|7.880184331797235|0|5425.0|0
