|dates|Kootenai_Idaho_UnitedStates.BLS_EmployedPopulation.data|Kootenai_Idaho_UnitedStates.BLS_EmployedPopulation.missing|Kootenai_Idaho_UnitedStates.BLS_UnemployedPopulation.data|Kootenai_Idaho_UnitedStates.BLS_UnemployedPopulation.missing|Kootenai_Idaho_UnitedStates.BLS_UnemploymentRate.data|Kootenai_Idaho_UnitedStates.BLS_UnemploymentRate.missing|Kootenai_Idaho_UnitedStates.BLS_LaborForcePopulation.data|Kootenai_Idaho_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-02|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-03|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-04|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-05|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-06|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-07|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-08|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-09|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-10|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-11|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-12|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-13|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-14|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-15|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-16|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-17|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-18|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-19|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-20|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-21|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-22|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-23|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-24|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-25|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-26|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-27|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-28|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-29|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-30|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-01-31|76610.0|0|3639.5|0|4.535230749101241|0|80249.5|0
0|2020-02-01|77003.0|0|3258.5|0|4.059854351089875|0|80261.5|0
0|2020-02-02|77003.0|0|3258.5|0|4.059854351089875|0|80261.5|0
0|2020-02-03|77003.0|0|3258.5|0|4.059854351089875|0|80261.5|0
0|2020-02-04|77003.0|0|3258.5|0|4.059854351089875|0|80261.5|0
0|2020-02-05|77003.0|0|3258.5|0|4.059854351089875|0|80261.5|0
0|2020-02-06|77003.0|0|3258.5|0|4.059854351089875|0|80261.5|0
