|dates|Kusilvak_Alaska_UnitedStates.BLS_EmployedPopulation.data|Kusilvak_Alaska_UnitedStates.BLS_EmployedPopulation.missing|Kusilvak_Alaska_UnitedStates.BLS_UnemployedPopulation.data|Kusilvak_Alaska_UnitedStates.BLS_UnemployedPopulation.missing|Kusilvak_Alaska_UnitedStates.BLS_UnemploymentRate.data|Kusilvak_Alaska_UnitedStates.BLS_UnemploymentRate.missing|Kusilvak_Alaska_UnitedStates.BLS_LaborForcePopulation.data|Kusilvak_Alaska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-02|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-03|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-04|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-05|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-06|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-07|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-08|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-09|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-10|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-11|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-12|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-13|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-14|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-15|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-16|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-17|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-18|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-19|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-20|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-21|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-22|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-23|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
0|2020-01-24|1893.0|0|415.0|0|17.980935875216637|0|2308.0|0
