|dates|Morgan_Colorado_UnitedStates.BLS_EmployedPopulation.data|Morgan_Colorado_UnitedStates.BLS_EmployedPopulation.missing|Morgan_Colorado_UnitedStates.BLS_UnemployedPopulation.data|Morgan_Colorado_UnitedStates.BLS_UnemployedPopulation.missing|Morgan_Colorado_UnitedStates.BLS_UnemploymentRate.data|Morgan_Colorado_UnitedStates.BLS_UnemploymentRate.missing|Morgan_Colorado_UnitedStates.BLS_LaborForcePopulation.data|Morgan_Colorado_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-02|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-03|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-04|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-05|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-06|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-07|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-08|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-09|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-10|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-11|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-12|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-13|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-14|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-15|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-16|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-17|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-18|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-19|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-20|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-21|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-22|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-23|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-24|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-25|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-26|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-27|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-28|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-29|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-30|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-01-31|15839.5|0|432.5|0|2.6579400196656833|0|16272.0|0
0|2020-02-01|15727.5|0|445.0|0|2.7515844798268665|0|16172.5|0
