|dates|Decatur_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Decatur_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Decatur_Kansas_UnitedStates.Male_Total_Population.data|Decatur_Kansas_UnitedStates.Male_Total_Population.missing|Decatur_Kansas_UnitedStates.Female_Total_Population.data|Decatur_Kansas_UnitedStates.Female_Total_Population.missing|Decatur_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Decatur_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-02|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-03|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-04|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-05|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-06|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-07|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-08|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-09|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-10|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-11|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-12|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-13|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-14|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-15|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-16|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-17|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-18|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-19|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-20|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-21|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-22|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-23|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-24|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-25|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-26|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-27|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-28|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-29|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-30|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-01-31|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-01|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-02|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-03|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-04|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-05|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-06|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-07|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-08|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-09|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-10|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-11|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-12|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-13|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-14|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-15|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-16|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-17|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-18|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-19|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-20|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-21|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-22|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-23|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-24|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-25|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-26|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-27|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-28|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-02-29|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-03-01|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-03-02|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-03-03|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-03-04|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-03-05|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-03-06|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-03-07|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-03-08|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-03-09|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-03-10|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-03-11|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-03-12|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-03-13|808.0|0|1443.0|0|1428.0|0|558.0|0
0|2020-03-14|808.0|0|1443.0|0|1428.0|0|558.0|0
