|dates|Scotland_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Scotland_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Scotland_Missouri_UnitedStates.Male_Total_Population.data|Scotland_Missouri_UnitedStates.Male_Total_Population.missing|Scotland_Missouri_UnitedStates.Female_Total_Population.data|Scotland_Missouri_UnitedStates.Female_Total_Population.missing|Scotland_Missouri_UnitedStates.MaleAndFemale_Under18_Population.data|Scotland_Missouri_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-02|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-03|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-04|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-05|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-06|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-07|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-08|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-09|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-10|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-11|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-12|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-13|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-14|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-15|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-16|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-17|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-18|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-19|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-20|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-21|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-22|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-23|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-24|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-25|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-26|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-27|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-28|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-29|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-30|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-01-31|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-01|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-02|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-03|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-04|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-05|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-06|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-07|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-08|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-09|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-10|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-11|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-12|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-13|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-14|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-15|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-16|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-17|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-18|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-19|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-20|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-21|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-22|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-23|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-24|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-25|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-26|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-27|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-28|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-02-29|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-03-01|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-03-02|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-03-03|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-03-04|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-03-05|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-03-06|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-03-07|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-03-08|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-03-09|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-03-10|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-03-11|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-03-12|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-03-13|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-03-14|899.0|0|2457.0|0|2509.0|0|1463.0|0
0|2020-03-15|899.0|0|2457.0|0|2509.0|0|1463.0|0
