|dates|Marion_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Marion_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Marion_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Marion_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Marion_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Marion_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Marion_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Marion_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-02|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-03|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-04|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-05|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-06|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-07|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-08|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-09|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-10|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-11|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-12|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-13|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-14|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-15|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-16|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-17|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-18|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-19|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-20|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-21|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-22|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-23|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-24|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-25|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-26|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-27|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-28|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-29|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-30|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-01-31|11963.0|0|651.0|0|5.160932297447281|0|12614.0|0
0|2020-02-01|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
0|2020-02-02|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
0|2020-02-03|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
0|2020-02-04|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
0|2020-02-05|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
0|2020-02-06|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
0|2020-02-07|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
0|2020-02-08|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
0|2020-02-09|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
0|2020-02-10|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
0|2020-02-11|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
0|2020-02-12|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
0|2020-02-13|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
0|2020-02-14|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
0|2020-02-15|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
0|2020-02-16|12049.0|0|607.5|0|4.799905187058034|0|12656.5|0
