|dates|Marion_Mississippi_UnitedStates.BLS_EmployedPopulation.data|Marion_Mississippi_UnitedStates.BLS_EmployedPopulation.missing|Marion_Mississippi_UnitedStates.BLS_UnemployedPopulation.data|Marion_Mississippi_UnitedStates.BLS_UnemployedPopulation.missing|Marion_Mississippi_UnitedStates.BLS_UnemploymentRate.data|Marion_Mississippi_UnitedStates.BLS_UnemploymentRate.missing|Marion_Mississippi_UnitedStates.BLS_LaborForcePopulation.data|Marion_Mississippi_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-02|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-03|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-04|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-05|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-06|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-07|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-08|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-09|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-10|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-11|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-12|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-13|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-14|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-15|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-16|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-17|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-18|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-19|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-20|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-21|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-22|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-23|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-24|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-25|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-26|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-27|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-28|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-29|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-30|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-01-31|9474.5|0|575.5|0|5.72636815920398|0|10050.0|0
0|2020-02-01|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-02|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-03|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-04|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-05|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-06|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-07|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-08|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-09|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-10|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-11|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-12|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-13|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-14|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-15|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-16|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-17|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-18|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-19|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-20|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-21|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-22|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-23|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-24|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-25|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-26|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-27|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-28|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-02-29|9458.0|0|550.0|0|5.495603517186251|0|10008.0|0
0|2020-03-01|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-02|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-03|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-04|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-05|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-06|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-07|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-08|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-09|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-10|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-11|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-12|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-13|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-14|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-15|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-16|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-17|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-18|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-19|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-20|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-21|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-22|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-23|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-24|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-25|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-26|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-27|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-28|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-29|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-30|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-03-31|9491.0|0|523.5|0|5.227420240651056|0|10014.5|0
0|2020-04-01|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-02|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-03|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-04|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-05|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-06|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-07|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-08|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-09|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-10|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-11|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-12|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-13|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-14|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-15|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-16|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-17|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-18|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-19|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-20|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-21|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-22|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-23|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-24|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-25|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-26|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-27|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-28|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-29|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-04-30|8232.5|0|997.5|0|10.807150595882991|0|9230.0|0
0|2020-05-01|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
0|2020-05-02|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
0|2020-05-03|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
0|2020-05-04|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
0|2020-05-05|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
0|2020-05-06|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
0|2020-05-07|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
0|2020-05-08|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
0|2020-05-09|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
0|2020-05-10|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
0|2020-05-11|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
0|2020-05-12|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
0|2020-05-13|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
0|2020-05-14|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
0|2020-05-15|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
0|2020-05-16|9029.0|0|845.0|0|8.557828640875025|0|9874.0|0
