|dates|Hodgeman_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hodgeman_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hodgeman_Kansas_UnitedStates.Male_Total_Population.data|Hodgeman_Kansas_UnitedStates.Male_Total_Population.missing|Hodgeman_Kansas_UnitedStates.Female_Total_Population.data|Hodgeman_Kansas_UnitedStates.Female_Total_Population.missing|Hodgeman_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Hodgeman_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-02|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-03|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-04|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-05|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-06|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-07|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-08|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-09|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-10|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-11|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-12|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-13|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-14|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-15|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-16|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-17|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-18|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-19|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-20|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-21|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-22|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-23|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-24|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-25|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-26|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-27|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-28|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-29|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-30|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-01-31|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-01|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-02|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-03|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-04|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-05|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-06|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-07|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-08|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-09|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-10|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-11|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-12|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-13|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-14|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-15|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-16|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-17|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-18|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-19|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-20|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-21|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-22|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-23|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-24|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-25|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-26|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-27|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-28|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-02-29|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-01|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-02|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-03|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-04|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-05|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-06|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-07|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-08|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-09|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-10|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-11|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-12|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-13|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-14|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-15|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-16|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-17|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-18|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-19|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-20|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-21|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-22|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-23|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-24|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-25|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-26|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-27|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-28|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-29|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-30|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-03-31|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-01|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-02|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-03|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-04|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-05|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-06|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-07|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-08|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-09|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-10|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-11|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-12|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-13|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-14|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-15|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-16|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-17|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-18|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-19|436.0|0|905.0|0|913.0|0|413.0|0
0|2020-04-20|436.0|0|905.0|0|913.0|0|413.0|0
