|dates|McIntosh_Oklahoma_UnitedStates.BLS_EmployedPopulation.data|McIntosh_Oklahoma_UnitedStates.BLS_EmployedPopulation.missing|McIntosh_Oklahoma_UnitedStates.BLS_UnemployedPopulation.data|McIntosh_Oklahoma_UnitedStates.BLS_UnemployedPopulation.missing|McIntosh_Oklahoma_UnitedStates.BLS_UnemploymentRate.data|McIntosh_Oklahoma_UnitedStates.BLS_UnemploymentRate.missing|McIntosh_Oklahoma_UnitedStates.BLS_LaborForcePopulation.data|McIntosh_Oklahoma_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-02|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-03|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-04|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-05|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-06|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-07|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-08|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-09|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-10|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-11|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-12|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-13|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-14|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-15|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-16|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-17|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-18|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-19|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-20|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-21|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-22|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-23|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-24|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-25|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-26|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-27|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-28|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-29|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-30|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-01-31|6715.0|0|482.0|0|6.697234959010699|0|7197.0|0
0|2020-02-01|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-02|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-03|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-04|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-05|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-06|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-07|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-08|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-09|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-10|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-11|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-12|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-13|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-14|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-15|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-16|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-17|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-18|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-19|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-20|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-21|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-22|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-23|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-24|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-25|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-26|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-27|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-28|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-02-29|6684.5|0|463.0|0|6.477789436866037|0|7147.5|0
0|2020-03-01|6702.5|0|419.5|0|5.890199382196013|0|7122.0|0
0|2020-03-02|6702.5|0|419.5|0|5.890199382196013|0|7122.0|0
0|2020-03-03|6702.5|0|419.5|0|5.890199382196013|0|7122.0|0
0|2020-03-04|6702.5|0|419.5|0|5.890199382196013|0|7122.0|0
0|2020-03-05|6702.5|0|419.5|0|5.890199382196013|0|7122.0|0
0|2020-03-06|6702.5|0|419.5|0|5.890199382196013|0|7122.0|0
