|dates|Ziebach_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Ziebach_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Ziebach_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Ziebach_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Ziebach_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Ziebach_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Ziebach_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Ziebach_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-02|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-03|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-04|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-05|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-06|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-07|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-08|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-09|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-10|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-11|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-12|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-13|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-14|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-15|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-16|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-17|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-18|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-19|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-20|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-21|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-22|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-23|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-24|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-25|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-26|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-27|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-28|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-29|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-30|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-01-31|879.0|0|35.0|0|3.8293216630196936|0|914.0|0
0|2020-02-01|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-02|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-03|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-04|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-05|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-06|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-07|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-08|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-09|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-10|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-11|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-12|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-13|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-14|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-15|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-16|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-17|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-18|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-19|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-20|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-21|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-22|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-23|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-24|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-25|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-26|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-27|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-28|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-02-29|870.0|0|32.0|0|3.5476718403547673|0|902.0|0
0|2020-03-01|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-02|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-03|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-04|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-05|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-06|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-07|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-08|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-09|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-10|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-11|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-12|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-13|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-14|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-15|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-16|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-17|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-18|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-19|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-20|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-21|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-22|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-23|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-24|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-25|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-26|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-27|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-28|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-29|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-30|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-03-31|899.0|0|34.5|0|3.695768612747724|0|933.5|0
0|2020-04-01|866.5|0|42.5|0|4.675467546754676|0|909.0|0
0|2020-04-02|866.5|0|42.5|0|4.675467546754676|0|909.0|0
0|2020-04-03|866.5|0|42.5|0|4.675467546754676|0|909.0|0
0|2020-04-04|866.5|0|42.5|0|4.675467546754676|0|909.0|0
0|2020-04-05|866.5|0|42.5|0|4.675467546754676|0|909.0|0
0|2020-04-06|866.5|0|42.5|0|4.675467546754676|0|909.0|0
0|2020-04-07|866.5|0|42.5|0|4.675467546754676|0|909.0|0
0|2020-04-08|866.5|0|42.5|0|4.675467546754676|0|909.0|0
