|dates|Union_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Union_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Union_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Union_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Union_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Union_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Union_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Union_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-02|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-03|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-04|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-05|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-06|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-07|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-08|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-09|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-10|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-11|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-12|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-13|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-14|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-15|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-16|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-17|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-18|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-19|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-20|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-21|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-22|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-23|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-24|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-25|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-26|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-27|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-28|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-29|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-30|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-01-31|5861.5|0|296.0|0|4.8071457572066585|0|6157.5|0
0|2020-02-01|5789.0|0|278.0|0|4.582165815065106|0|6067.0|0
0|2020-02-02|5789.0|0|278.0|0|4.582165815065106|0|6067.0|0
0|2020-02-03|5789.0|0|278.0|0|4.582165815065106|0|6067.0|0
0|2020-02-04|5789.0|0|278.0|0|4.582165815065106|0|6067.0|0
0|2020-02-05|5789.0|0|278.0|0|4.582165815065106|0|6067.0|0
0|2020-02-06|5789.0|0|278.0|0|4.582165815065106|0|6067.0|0
0|2020-02-07|5789.0|0|278.0|0|4.582165815065106|0|6067.0|0
0|2020-02-08|5789.0|0|278.0|0|4.582165815065106|0|6067.0|0
0|2020-02-09|5789.0|0|278.0|0|4.582165815065106|0|6067.0|0
0|2020-02-10|5789.0|0|278.0|0|4.582165815065106|0|6067.0|0
0|2020-02-11|5789.0|0|278.0|0|4.582165815065106|0|6067.0|0
