|dates|Morrill_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Morrill_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Morrill_Nebraska_UnitedStates.Male_Total_Population.data|Morrill_Nebraska_UnitedStates.Male_Total_Population.missing|Morrill_Nebraska_UnitedStates.Female_Total_Population.data|Morrill_Nebraska_UnitedStates.Female_Total_Population.missing|Morrill_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Morrill_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-02|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-03|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-04|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-05|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-06|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-07|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-08|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-09|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-10|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-11|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-12|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-13|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-14|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-15|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-16|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-17|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-18|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-19|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-20|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-21|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-22|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-23|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-24|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-25|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-26|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-27|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-28|993.0|0|2405.0|0|2281.0|0|1081.0|0
0|2020-01-29|993.0|0|2405.0|0|2281.0|0|1081.0|0
