|dates|Duplin_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Duplin_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Duplin_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Duplin_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Duplin_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Duplin_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Duplin_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Duplin_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-02|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-03|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-04|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-05|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-06|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-07|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-08|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-09|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-10|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-11|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-12|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-13|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-14|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-15|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-16|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-17|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-18|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-19|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-20|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-21|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-22|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-23|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-24|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-25|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-26|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-27|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-28|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-29|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-30|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-01-31|24997.0|0|1042.5|0|4.003533093953417|0|26039.5|0
0|2020-02-01|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-02|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-03|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-04|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-05|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-06|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-07|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-08|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-09|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-10|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-11|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-12|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-13|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-14|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-15|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-16|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
0|2020-02-17|25251.5|0|943.0|0|3.5999923648094065|0|26194.5|0
