|dates|Saguache_Colorado_UnitedStates.AveragePrecipitationTotal.data|Saguache_Colorado_UnitedStates.AveragePrecipitationTotal.missing|Saguache_Colorado_UnitedStates.AveragePrecipitation.data|Saguache_Colorado_UnitedStates.AveragePrecipitation.missing|Saguache_Colorado_UnitedStates.AverageWindDirection.data|Saguache_Colorado_UnitedStates.AverageWindDirection.missing|Saguache_Colorado_UnitedStates.AverageWindSpeed.data|Saguache_Colorado_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|109.79166666666667|0|2.3645833333333335|0
0|2020-01-02|0.0|0|0.0|0|295.8854166666667|0|12.697916666666666|0
0|2020-01-03|0.0|0|0.0|0|208.125|0|9.854166666666666|0
0|2020-01-04|0.0|0|0.0|0|153.48958333333334|0|4.276041666666667|0
0|2020-01-05|0.0|0|0.0|0|233.02083333333334|0|8.28125|0
0|2020-01-06|0.0|0|0.0|0|281.875|0|14.4375|0
0|2020-01-07|0.0|0|0.0|0|157.03125|0|5.0|0
0|2020-01-08|0.0|0|0.0|0|211.09375|0|5.927083333333333|0
0|2020-01-09|0.0|0|0.0|0|179.27083333333334|0|4.723958333333333|0
0|2020-01-10|0.0|0|0.0|0|314.21875|0|13.463541666666666|0
0|2020-01-11|0.0|0|0.0|0|178.69791666666666|0|5.3125|0
0|2020-01-12|0.0|0|0.0|0|219.42708333333334|0|7.177083333333333|0
0|2020-01-13|0.0|0|0.0|0|229.84375|0|7.088541666666667|0
0|2020-01-14|0.0|0|0.0|0|238.125|0|8.75|0
0|2020-01-15|0.0|0|0.0|0|233.80208333333334|0|6.140625|0
0|2020-01-16|0.0|0|0.0|0|263.2291666666667|0|6.890625|0
0|2020-01-17|0.0|0|0.0|0|188.69791666666666|0|11.442708333333334|0
0|2020-01-18|0.0|0|0.0|0|168.59375|0|5.723958333333333|0
0|2020-01-19|0.0|0|0.0|0|20.0|0|3.0|0
0|2020-01-20|0.0|0|0.0|0|32.552083333333336|0|2.6614583333333335|0
0|2020-01-21|0.0|0|0.0|0|35.364583333333336|0|1.390625|0
0|2020-01-22|0.0|0|0.0|0|202.70833333333334|0|7.692708333333333|0
0|2020-01-23|0.0|0|0.0|0|302.1354166666667|0|13.348958333333334|0
0|2020-01-24|0.0|0|0.0|0|214.89583333333334|0|8.609375|0
0|2020-01-25|0.0|0|0.0|0|227.96875|0|7.453125|0
0|2020-01-26|0.0|0|0.0|0|181.82291666666666|0|4.671875|0
0|2020-01-27|0.0|0|0.0|0|246.97916666666666|0|8.666666666666666|0
0|2020-01-28|0.0|0|0.0|0|263.0208333333333|0|10.4375|0
0|2020-01-29|0.0|0|0.0|0|209.32291666666666|0|7.145833333333333|0
0|2020-01-30|0.0|0|0.0|0|316.1458333333333|0|12.192708333333334|0
