|dates|Larue_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Larue_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Larue_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Larue_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Larue_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Larue_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Larue_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Larue_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-02|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-03|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-04|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-05|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-06|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-07|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-08|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-09|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-10|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-11|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-12|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-13|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-14|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-15|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-16|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-17|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-18|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-19|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-20|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-21|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-22|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-23|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-24|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-25|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-26|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-27|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-28|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-29|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-30|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-01-31|5707.5|0|290.5|0|4.843281093697899|0|5998.0|0
0|2020-02-01|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-02|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-03|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-04|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-05|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-06|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-07|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-08|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-09|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-10|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-11|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-12|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-13|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-14|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-15|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-16|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-17|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-18|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-19|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-20|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-21|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-22|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-23|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-24|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-25|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-26|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-27|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-28|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-02-29|5732.5|0|285.5|0|4.744101030242605|0|6018.0|0
0|2020-03-01|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-02|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-03|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-04|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-05|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-06|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-07|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-08|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-09|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-10|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-11|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-12|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-13|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-14|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-15|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-16|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-17|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-18|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-19|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-20|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-21|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-22|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-23|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-24|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-25|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-26|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-27|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-28|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-29|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-30|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-03-31|5697.5|0|323.0|0|5.365002906735321|0|6020.5|0
0|2020-04-01|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-02|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-03|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-04|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-05|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-06|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-07|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-08|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-09|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-10|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-11|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-12|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-13|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-14|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-15|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-16|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-17|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-18|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-19|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-20|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-21|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-22|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-23|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-24|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-25|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-26|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-27|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-28|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-29|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-04-30|5023.0|0|1259.5|0|20.04775169120573|0|6282.5|0
0|2020-05-01|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-02|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-03|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-04|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-05|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-06|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-07|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-08|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-09|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-10|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-11|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-12|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-13|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-14|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-15|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-16|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-17|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-18|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-19|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-20|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-21|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-22|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-23|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-24|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-25|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-26|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-27|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-28|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-29|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
0|2020-05-30|5292.0|0|799.0|0|13.11771466097521|0|6091.0|0
