|dates|GrandTraverse_Michigan_UnitedStates.BLS_EmployedPopulation.data|GrandTraverse_Michigan_UnitedStates.BLS_EmployedPopulation.missing|GrandTraverse_Michigan_UnitedStates.BLS_UnemployedPopulation.data|GrandTraverse_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|GrandTraverse_Michigan_UnitedStates.BLS_UnemploymentRate.data|GrandTraverse_Michigan_UnitedStates.BLS_UnemploymentRate.missing|GrandTraverse_Michigan_UnitedStates.BLS_LaborForcePopulation.data|GrandTraverse_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-02|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-03|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-04|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-05|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-06|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-07|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-08|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-09|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-10|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-11|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-12|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-13|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-14|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-15|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-16|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-17|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-18|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-19|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-20|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-21|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-22|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-23|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
0|2020-01-24|46432.5|0|1908.5|0|3.9479944560517986|0|48341.0|0
