|dates|Lee_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Lee_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Lee_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Lee_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Lee_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Lee_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Lee_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Lee_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-02|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-03|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-04|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-05|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-06|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-07|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-08|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-09|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-10|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-11|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-12|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-13|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-14|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-15|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-16|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-17|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-18|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-19|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-20|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-21|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-22|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-23|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-24|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-25|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-26|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-27|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-28|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-29|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-30|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-01-31|6308.5|0|340.0|0|5.113935474167105|0|6648.5|0
0|2020-02-01|6325.0|0|350.5|0|5.250543030484608|0|6675.5|0
