|dates|Kent_RhodeIsland_UnitedStates.BLS_EmployedPopulation.data|Kent_RhodeIsland_UnitedStates.BLS_EmployedPopulation.missing|Kent_RhodeIsland_UnitedStates.BLS_UnemployedPopulation.data|Kent_RhodeIsland_UnitedStates.BLS_UnemployedPopulation.missing|Kent_RhodeIsland_UnitedStates.BLS_UnemploymentRate.data|Kent_RhodeIsland_UnitedStates.BLS_UnemploymentRate.missing|Kent_RhodeIsland_UnitedStates.BLS_LaborForcePopulation.data|Kent_RhodeIsland_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-02|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-03|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-04|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-05|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-06|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-07|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-08|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-09|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-10|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-11|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-12|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-13|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-14|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-15|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-16|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-17|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-18|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-19|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-20|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-21|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-22|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-23|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-24|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-25|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-26|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-27|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-28|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-29|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-30|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-01-31|87667.0|0|3558.5|0|3.900773358326345|0|91225.5|0
0|2020-02-01|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-02|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-03|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-04|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-05|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-06|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-07|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-08|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-09|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-10|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-11|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-12|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-13|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-14|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-15|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-16|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-17|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-18|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-19|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-20|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-21|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-22|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-23|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-24|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-25|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-26|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-27|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-28|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-02-29|88171.5|0|3479.5|0|3.7964670325473806|0|91651.0|0
0|2020-03-01|87310.5|0|4142.0|0|4.529127142505672|0|91452.5|0
0|2020-03-02|87310.5|0|4142.0|0|4.529127142505672|0|91452.5|0
0|2020-03-03|87310.5|0|4142.0|0|4.529127142505672|0|91452.5|0
0|2020-03-04|87310.5|0|4142.0|0|4.529127142505672|0|91452.5|0
0|2020-03-05|87310.5|0|4142.0|0|4.529127142505672|0|91452.5|0
0|2020-03-06|87310.5|0|4142.0|0|4.529127142505672|0|91452.5|0
0|2020-03-07|87310.5|0|4142.0|0|4.529127142505672|0|91452.5|0
