|dates|Washington_Georgia_UnitedStates.BLS_EmployedPopulation.data|Washington_Georgia_UnitedStates.BLS_EmployedPopulation.missing|Washington_Georgia_UnitedStates.BLS_UnemployedPopulation.data|Washington_Georgia_UnitedStates.BLS_UnemployedPopulation.missing|Washington_Georgia_UnitedStates.BLS_UnemploymentRate.data|Washington_Georgia_UnitedStates.BLS_UnemploymentRate.missing|Washington_Georgia_UnitedStates.BLS_LaborForcePopulation.data|Washington_Georgia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-02|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-03|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-04|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-05|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-06|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-07|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-08|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-09|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-10|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-11|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-12|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-13|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-14|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-15|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-16|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-17|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-18|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-19|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-20|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-21|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-22|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-23|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-24|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
0|2020-01-25|6733.0|0|325.0|0|4.604703882119581|0|7058.0|0
