|dates|Maricopa_Arizona_UnitedStates.AveragePrecipitationTotal.data|Maricopa_Arizona_UnitedStates.AveragePrecipitationTotal.missing|Maricopa_Arizona_UnitedStates.AveragePrecipitation.data|Maricopa_Arizona_UnitedStates.AveragePrecipitation.missing|Maricopa_Arizona_UnitedStates.AverageWindDirection.data|Maricopa_Arizona_UnitedStates.AverageWindDirection.missing|Maricopa_Arizona_UnitedStates.AverageWindSpeed.data|Maricopa_Arizona_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|92.5|0|4.8125|0
0|2020-01-02|0.0|0|0.0|0|170.20833333333334|0|6.041666666666667|0
0|2020-01-03|0.0|0|0.0|0|133.125|0|4.0625|0
0|2020-01-04|0.0|0|0.0|0|34.583333333333336|0|2.6041666666666665|0
0|2020-01-05|0.0|0|0.0|0|90.83333333333333|0|4.1875|0
0|2020-01-06|0.0|0|0.0|0|125.41666666666667|0|5.083333333333333|0
0|2020-01-07|0.0|0|0.0|0|52.083333333333336|0|4.791666666666667|0
0|2020-01-08|0.0|0|0.0|0|61.25|0|4.333333333333333|0
0|2020-01-09|0.0|0|0.0|0|123.95833333333333|0|7.291666666666667|0
0|2020-01-10|0.0|0|0.0|0|186.04166666666666|0|8.1875|0
0|2020-01-11|0.0|0|0.0|0|88.61111111111113|0|8.208333333333334|0
0|2020-01-12|0.0|0|0.0|0|23.75|0|4.625|0
0|2020-01-13|0.0|0|0.0|0|38.125|0|3.7708333333333335|0
0|2020-01-14|0.0|0|0.0|0|20.0|0|5.1875|0
0|2020-01-15|0.0|0|0.0|0|32.083333333333336|0|3.8333333333333335|0
0|2020-01-16|0.0|0|0.0|0|56.666666666666664|0|4.5625|0
0|2020-01-17|0.0|0|0.0|0|139.375|0|5.5625|0
0|2020-01-18|0.0|0|0.0|0|167.91666666666666|0|4.229166666666667|0
0|2020-01-19|0.0|0|0.0|0|120.625|0|6.583333333333333|0
0|2020-01-20|0.0|0|0.0|0|49.583333333333336|0|6.416666666666667|0
0|2020-01-21|0.0|0|0.0|0|56.25|0|3.6666666666666665|0
0|2020-01-22|0.0|0|0.0|0|72.91666666666667|0|1.4930555555555554|0
0|2020-01-23|0.0|0|0.0|0|76.04166666666667|0|2.3541666666666665|0
0|2020-01-24|0.0|0|0.0|0|150.0|0|4.583333333333333|0
0|2020-01-25|0.0|0|0.0|0|64.58333333333333|0|4.104166666666667|0
