|dates|Dare_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Dare_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Dare_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Dare_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Dare_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Dare_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Dare_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Dare_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-02|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-03|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-04|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-05|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-06|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-07|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-08|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-09|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-10|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-11|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-12|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-13|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-14|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-15|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-16|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-17|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-18|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-19|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-20|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-21|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-22|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-23|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-24|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-25|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-26|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-27|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-28|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-29|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-30|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-01-31|16427.0|0|1419.0|0|7.951361649669393|0|17846.0|0
0|2020-02-01|16792.5|0|1342.0|0|7.400259174501641|0|18134.5|0
0|2020-02-02|16792.5|0|1342.0|0|7.400259174501641|0|18134.5|0
0|2020-02-03|16792.5|0|1342.0|0|7.400259174501641|0|18134.5|0
0|2020-02-04|16792.5|0|1342.0|0|7.400259174501641|0|18134.5|0
0|2020-02-05|16792.5|0|1342.0|0|7.400259174501641|0|18134.5|0
0|2020-02-06|16792.5|0|1342.0|0|7.400259174501641|0|18134.5|0
0|2020-02-07|16792.5|0|1342.0|0|7.400259174501641|0|18134.5|0
0|2020-02-08|16792.5|0|1342.0|0|7.400259174501641|0|18134.5|0
0|2020-02-09|16792.5|0|1342.0|0|7.400259174501641|0|18134.5|0
0|2020-02-10|16792.5|0|1342.0|0|7.400259174501641|0|18134.5|0
0|2020-02-11|16792.5|0|1342.0|0|7.400259174501641|0|18134.5|0
0|2020-02-12|16792.5|0|1342.0|0|7.400259174501641|0|18134.5|0
0|2020-02-13|16792.5|0|1342.0|0|7.400259174501641|0|18134.5|0
0|2020-02-14|16792.5|0|1342.0|0|7.400259174501641|0|18134.5|0
0|2020-02-15|16792.5|0|1342.0|0|7.400259174501641|0|18134.5|0
