|dates|Shasta_California_UnitedStates.BLS_EmployedPopulation.data|Shasta_California_UnitedStates.BLS_EmployedPopulation.missing|Shasta_California_UnitedStates.BLS_UnemployedPopulation.data|Shasta_California_UnitedStates.BLS_UnemployedPopulation.missing|Shasta_California_UnitedStates.BLS_UnemploymentRate.data|Shasta_California_UnitedStates.BLS_UnemploymentRate.missing|Shasta_California_UnitedStates.BLS_LaborForcePopulation.data|Shasta_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-02|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-03|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-04|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-05|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-06|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-07|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-08|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-09|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-10|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-11|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-12|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-13|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-14|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-15|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-16|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-17|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-18|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-19|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-20|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-21|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-22|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-23|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-24|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
0|2020-01-25|70054.5|0|4039.0|0|5.4512204174455245|0|74093.5|0
