|dates|Noble_Indiana_UnitedStates.BLS_EmployedPopulation.data|Noble_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Noble_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Noble_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Noble_Indiana_UnitedStates.BLS_UnemploymentRate.data|Noble_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Noble_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Noble_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-02|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-03|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-04|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-05|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-06|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-07|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-08|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-09|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-10|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-11|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-12|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-13|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-14|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-15|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-16|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-17|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-18|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-19|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-20|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-21|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-22|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-23|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-24|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-25|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-26|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-27|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-28|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-29|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-30|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-01-31|22390.0|0|793.5|0|3.4226928634589253|0|23183.5|0
0|2020-02-01|22424.0|0|704.5|0|3.0460254664158937|0|23128.5|0
0|2020-02-02|22424.0|0|704.5|0|3.0460254664158937|0|23128.5|0
0|2020-02-03|22424.0|0|704.5|0|3.0460254664158937|0|23128.5|0
0|2020-02-04|22424.0|0|704.5|0|3.0460254664158937|0|23128.5|0
0|2020-02-05|22424.0|0|704.5|0|3.0460254664158937|0|23128.5|0
0|2020-02-06|22424.0|0|704.5|0|3.0460254664158937|0|23128.5|0
0|2020-02-07|22424.0|0|704.5|0|3.0460254664158937|0|23128.5|0
0|2020-02-08|22424.0|0|704.5|0|3.0460254664158937|0|23128.5|0
0|2020-02-09|22424.0|0|704.5|0|3.0460254664158937|0|23128.5|0
0|2020-02-10|22424.0|0|704.5|0|3.0460254664158937|0|23128.5|0
0|2020-02-11|22424.0|0|704.5|0|3.0460254664158937|0|23128.5|0
0|2020-02-12|22424.0|0|704.5|0|3.0460254664158937|0|23128.5|0
