|dates|Lavaca_Texas_UnitedStates.BLS_EmployedPopulation.data|Lavaca_Texas_UnitedStates.BLS_EmployedPopulation.missing|Lavaca_Texas_UnitedStates.BLS_UnemployedPopulation.data|Lavaca_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Lavaca_Texas_UnitedStates.BLS_UnemploymentRate.data|Lavaca_Texas_UnitedStates.BLS_UnemploymentRate.missing|Lavaca_Texas_UnitedStates.BLS_LaborForcePopulation.data|Lavaca_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-02|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-03|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-04|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-05|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-06|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-07|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-08|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-09|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-10|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-11|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-12|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-13|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-14|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-15|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-16|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-17|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-18|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-19|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-20|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-21|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-22|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-23|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-24|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-25|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-26|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-27|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-28|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-29|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-30|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-01-31|8263.5|0|251.0|0|2.9479123847554174|0|8514.5|0
0|2020-02-01|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-02|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-03|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-04|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-05|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-06|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-07|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-08|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-09|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-10|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-11|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-12|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-13|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-14|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-15|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-16|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-17|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-18|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-19|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-20|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-21|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-22|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-23|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-24|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-25|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-26|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-27|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-28|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-02-29|8262.5|0|241.5|0|2.8398400752587016|0|8504.0|0
0|2020-03-01|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-02|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-03|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-04|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-05|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-06|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-07|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-08|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-09|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-10|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-11|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-12|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-13|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-14|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-15|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-16|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-17|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-18|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-19|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-20|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-21|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-22|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-23|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-24|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-25|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-26|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-27|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-28|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-29|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-30|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-03-31|8020.5|0|349.5|0|4.17562724014337|0|8370.0|0
0|2020-04-01|7007.0|0|515.5|0|6.8527750083084085|0|7522.5|0
0|2020-04-02|7007.0|0|515.5|0|6.8527750083084085|0|7522.5|0
0|2020-04-03|7007.0|0|515.5|0|6.8527750083084085|0|7522.5|0
0|2020-04-04|7007.0|0|515.5|0|6.8527750083084085|0|7522.5|0
0|2020-04-05|7007.0|0|515.5|0|6.8527750083084085|0|7522.5|0
