|dates|Deschutes_Oregon_UnitedStates.AveragePrecipitationTotal.data|Deschutes_Oregon_UnitedStates.AveragePrecipitationTotal.missing|Deschutes_Oregon_UnitedStates.AveragePrecipitation.data|Deschutes_Oregon_UnitedStates.AveragePrecipitation.missing|Deschutes_Oregon_UnitedStates.AverageWindDirection.data|Deschutes_Oregon_UnitedStates.AverageWindDirection.missing|Deschutes_Oregon_UnitedStates.AverageWindSpeed.data|Deschutes_Oregon_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0005208333333333333|0|193.54166666666666|0|9.322916666666666|0
0|2020-01-02|0.0|0|0.0|0|153.59375|0|9.885416666666666|0
0|2020-01-03|0.0|0|0.0|0|166.66666666666666|0|12.234375|0
0|2020-01-04|0.0|0|0.0|0|188.02083333333334|0|10.489583333333334|0
0|2020-01-05|0.0|0|0.0|0|180.20833333333334|0|10.989583333333334|0
0|2020-01-06|0.0|0|0.0|0|197.39583333333334|0|18.4375|0
0|2020-01-07|0.0|0|0.0|0|184.79166666666666|0|11.3125|0
0|2020-01-08|0.0|0|0.0|0|154.0625|0|6.604166666666667|0
0|2020-01-09|0.0|0|0.0|0|152.1875|0|3.6770833333333335|0
0|2020-01-10|0.0|0|0.0017708333333333335|0|196.35416666666666|0|14.729166666666666|0
0|2020-01-11|0.0|0|0.0011458333333333333|0|192.29166666666666|0|9.53125|0
0|2020-01-12|0.0|0|0.00020833333333333335|0|214.27083333333334|0|12.010416666666666|0
0|2020-01-13|0.0|0|0.0004166666666666667|0|181.77083333333334|0|10.385416666666666|0
0|2020-01-14|0.0|0|0.0|0|177.29166666666666|0|6.15625|0
0|2020-01-15|0.0|0|0.0|0|177.8125|0|11.5625|0
0|2020-01-16|0.0|0|0.00020833333333333335|0|111.97916666666667|0|4.364583333333333|0
0|2020-01-17|0.0|0|0.00020833333333333335|0|165.72916666666666|0|7.666666666666667|0
0|2020-01-18|0.0|0|0.0|0|159.47916666666666|0|8.104166666666666|0
0|2020-01-19|0.0|0|0.0|0|133.22916666666666|0|9.9375|0
0|2020-01-20|0.0|0|0.0|0|89.58333333333333|0|3.9791666666666665|0
0|2020-01-21|0.0|0|0.00020833333333333335|0|192.29166666666666|0|10.90625|0
0|2020-01-22|0.0|0|0.0|0|181.25|0|11.375|0
