|dates|Dukes_Massachusetts_UnitedStates.BLS_EmployedPopulation.data|Dukes_Massachusetts_UnitedStates.BLS_EmployedPopulation.missing|Dukes_Massachusetts_UnitedStates.BLS_UnemployedPopulation.data|Dukes_Massachusetts_UnitedStates.BLS_UnemployedPopulation.missing|Dukes_Massachusetts_UnitedStates.BLS_UnemploymentRate.data|Dukes_Massachusetts_UnitedStates.BLS_UnemploymentRate.missing|Dukes_Massachusetts_UnitedStates.BLS_LaborForcePopulation.data|Dukes_Massachusetts_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-02|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-03|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-04|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-05|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-06|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-07|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-08|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-09|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-10|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-11|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-12|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-13|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-14|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-15|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-16|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-17|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
0|2020-01-18|7835.5|0|615.5|0|7.283161756005207|0|8451.0|0
