|dates|DelNorte_California_UnitedStates.BLS_EmployedPopulation.data|DelNorte_California_UnitedStates.BLS_EmployedPopulation.missing|DelNorte_California_UnitedStates.BLS_UnemployedPopulation.data|DelNorte_California_UnitedStates.BLS_UnemployedPopulation.missing|DelNorte_California_UnitedStates.BLS_UnemploymentRate.data|DelNorte_California_UnitedStates.BLS_UnemploymentRate.missing|DelNorte_California_UnitedStates.BLS_LaborForcePopulation.data|DelNorte_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-02|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-03|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-04|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-05|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-06|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-07|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-08|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-09|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-10|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-11|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-12|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-13|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-14|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-15|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-16|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-17|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-18|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-19|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-20|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-21|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-22|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-23|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-24|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-25|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-26|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-27|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-28|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-29|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-30|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-01-31|8986.5|0|635.0|0|6.599802525593723|0|9621.5|0
0|2020-02-01|8981.0|0|597.0|0|6.2330340363332635|0|9578.0|0
0|2020-02-02|8981.0|0|597.0|0|6.2330340363332635|0|9578.0|0
0|2020-02-03|8981.0|0|597.0|0|6.2330340363332635|0|9578.0|0
0|2020-02-04|8981.0|0|597.0|0|6.2330340363332635|0|9578.0|0
0|2020-02-05|8981.0|0|597.0|0|6.2330340363332635|0|9578.0|0
0|2020-02-06|8981.0|0|597.0|0|6.2330340363332635|0|9578.0|0
0|2020-02-07|8981.0|0|597.0|0|6.2330340363332635|0|9578.0|0
0|2020-02-08|8981.0|0|597.0|0|6.2330340363332635|0|9578.0|0
0|2020-02-09|8981.0|0|597.0|0|6.2330340363332635|0|9578.0|0
0|2020-02-10|8981.0|0|597.0|0|6.2330340363332635|0|9578.0|0
0|2020-02-11|8981.0|0|597.0|0|6.2330340363332635|0|9578.0|0
0|2020-02-12|8981.0|0|597.0|0|6.2330340363332635|0|9578.0|0
