|dates|SanMateo_California_UnitedStates.BLS_EmployedPopulation.data|SanMateo_California_UnitedStates.BLS_EmployedPopulation.missing|SanMateo_California_UnitedStates.BLS_UnemployedPopulation.data|SanMateo_California_UnitedStates.BLS_UnemployedPopulation.missing|SanMateo_California_UnitedStates.BLS_UnemploymentRate.data|SanMateo_California_UnitedStates.BLS_UnemploymentRate.missing|SanMateo_California_UnitedStates.BLS_LaborForcePopulation.data|SanMateo_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-02|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-03|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-04|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-05|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-06|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-07|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-08|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-09|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-10|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-11|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-12|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-13|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-14|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-15|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-16|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-17|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-18|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-19|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-20|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-21|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-22|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-23|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-24|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-25|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-26|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-27|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-28|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-29|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-30|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-01-31|449758.5|0|9923.5|0|2.1587749792247686|0|459682.0|0
0|2020-02-01|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-02|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-03|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-04|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-05|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-06|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-07|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-08|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-09|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-10|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-11|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-12|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-13|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-14|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-15|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-16|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-17|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
0|2020-02-18|451490.0|0|9663.5|0|2.095506160096367|0|461153.5|0
