|dates|Decatur_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Decatur_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Decatur_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Decatur_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Decatur_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Decatur_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Decatur_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Decatur_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-02|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-03|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-04|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-05|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-06|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-07|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-08|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-09|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-10|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-11|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-12|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-13|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-14|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-15|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-16|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-17|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-18|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-19|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-20|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-21|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-22|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-23|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-24|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-25|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-26|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-27|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-28|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-29|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-30|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-01-31|4305.5|0|323.5|0|6.988550442860229|0|4629.0|0
0|2020-02-01|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-02|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-03|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-04|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-05|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-06|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-07|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-08|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-09|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-10|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-11|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-12|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-13|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-14|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-15|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-16|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-17|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-18|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-19|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-20|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-21|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-22|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-23|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-24|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-25|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-26|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-27|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-28|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-02-29|4298.0|0|273.5|0|5.982719020015312|0|4571.5|0
0|2020-03-01|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-02|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-03|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-04|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-05|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-06|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-07|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-08|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-09|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-10|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-11|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-12|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-13|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-14|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-15|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-16|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-17|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-18|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-19|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-20|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
0|2020-03-21|4304.5|0|287.0|0|6.2506806054666235|0|4591.5|0
